,idx,word_guesses,first_pass,solution_words,solution
0,0,arabo;ile;ape;fari,AND arabo S ile ape R A F fari,Andar;a;bosilea;per;affari,Andar a bosilea per affari
1,1,reperte;in olio;testa,reperte CLU in olio testa TO,Reperte;cluinolio,Reperte cluinolio
2,2,fa;sci;moro;sta,fa sci moro N DI sta,Fascimo;rondista,Fascimo rondista
3,3,Oman;dardi;enti,D Oman dardi P AR enti,Domandar;di;parenti,Domandar di parenti
4,4,arto;dita,SC arto dita R A,Scarto;di;tara,Scarto di tara
5,5,chiesa;fata;ode;eco;sei;para,chiesa VIO fata SO R ode LL eco sei M para TE,Chi;è;savio;fa;tasor;odelle;come;siparamare,Chi è savio fa tasor odelle come siparamare
6,6,colt;ibis;ami;arsi,PE colt S ibis O GN ami GL IO R arsi,Pec;oltibisso;naglioni;orarissi,Pec oltibisso naglioni orarissi
7,7,van;oli;giare;alte;ami,V I van oli mа N giare alte G ami N O,Vivano;il;Mangiare;al;Tegamino,Vivano il Mangiare al Tegamino
8,8,rive;Itaca,rive ND Itaca RA,Rivendita;cara,Rivendita cara
9,9,onda;redi;orsi,SFR onda redi S C orsi,Sfrondare;discorsi,Sfrondare discorsi
10,10,la;gale;lato,la N I gale L lato,L;Aniga;rellato,L'Aniga rellato
11,11,con;ratto;ila;oro,con T ratto D ila V oro,Contratto;di;lavoro,Contratto di lavoro
12,12,pedale;di;serva,OS pedale di RI serva,Ospedale;di;Riserva,Ospedale di Riserva
13,13,ore;Roma;ile,T ore Roma DR ile N O,Torero;madrileno,Torero madrileno
14,14,olio;pericolo,V olio pericolo MBI,Volioper;ico;l;ombibi,Volioper ico l ombibi
15,15,ami;ciechi,C ami ciechi C,Camicié;chic,Camicié chic
16,16,stie;Conte,GE stie Conte TI,Gesti;econti,Gesti econti
17,17,duomo;tra;di,duomo tra di,Duomotra;ridi,Duomotra ridi
18,18,chef;lacci,BOC chef lacci DE,Bochef;laccide,Bochef laccide
19,19,odi;avi;ori,PR odi avi A T ori,Prodi;aviatori,Prodi aviatori
