,idx,word_guesses,first_pass,solution_words,solution
0,0,arabo;ile;ape;fari,AND arabo S ile ape R A F fari,Andar;a;bosilea;per;affari,And a bosilea per affari
1,1,note;in;testa,note CLU in testa TO,Noteclu;intestato,Noteclu intestato
2,2,fa;sci;moro;sta,fa sci S moro N DI sta,Fascismo;rondista,Fascismo rondista
3,3,Oman;dardi;enti,D Oman dardi P AR enti,Domandar;di;partenti,Domandar di partenti
4,4,arti;dita,SC arti dita R A,Scarti;di;tarà,Scarti di tarà
5,5,chiesa;fata;ode;Ero;sei;para,chiesa VIO fata SO R ode LL Ero sei M para TE,Chi;è;savia;fo;taso;dolor;esi;mparamarte,Chi è savia fo taso dolor esi mparamarte
6,6,colt;oro;ami;arsi,PE colt S oro O GN ami GL IO R arsi,Pec;l'ostoro;gnamigli;orararsi,Pec l'ostoro gnamigli orararsi
7,7,van;oli;oli;giare;alte;ami,V I van oli oli ma N giare alte G ami N O,Vivano;li;lombagiare;al;telegami,Vivano li lombagiare al telegami
8,8,rive;Itaca,rive ND Itaca RA,Rivendita;cara,Rivendita cara
9,9,onda;redi;orsi,SFR onda redi S C orsi,Sfrondare;discorsi,Sfrondare discorsi
10,10,la;gerle;lato,la N I gerle L lato,L;anige;rillatato,L'anige rillatato
11,11,con;ratto;ila;vino,con T ratto D ila V vino,Contratto;di;lavoro,Contratto di lavoro
12,12,pedale;va;serva,OS pedale va RI serva,Operaleva;Ra;servare,Operaleva Ra servare
13,13,ore;Roma;ile,T ore Roma DR ile N O,Torero;madrileno,Torero madrileno
14,14,oli;rischio,V oli rischio MBI,Voliris;chi;o;mobili,Voliris chi o mobili
15,15,ami;visi,C ami visi C,Camivisi;sic,Camivisi sic
16,16,stie;conte,GE stie conte TI,Gesti;enteconti,Gesti enteconti
17,17,duomo;tra;di,duomo tra di,Duomotra;didi,Duomotra didi
18,18,chef;lacci,BOC chef lacci DE,Bochef;laccicide,Bochef laccicide
19,19,ode;mi;ori,PR ode mi A T ori,Prode;matoriori,Prode matoriori
20,20,re;re;re;bus;Cile,C re A re re UN re bus F A Cile,Creare;re;unre;busfàcile,Creare re unre busfàcile
21,21,ante;edili;tini,V ante R I edili BER tini,Vantire;di;bilbertini,Vantire di bilbertini
22,22,Po;Po;turbo;orsi,IL Po Po LA turbo AC C orsi,Il;popolato;rubbo;accorsi,Il popolato rubbo accorsi
23,23,insegna;divi;oli,insegna NT E divi oli N O,Insegnante;di;violino,Insegnante di violino
24,24,rena;ora,CA rena órora I,Carne;a;roora,Carne a roora
25,25,elmo;odi;di;re,B elmo D odi di re,Bel;modo;di;dire,Bel modo di dire
26,26,Rodi;Lovelace,BO Rodi Lovelace EG,Borodil;o;Valelace,Borodil o Valelace
27,27,agli;ode;ora;ile,S B agli оде П Л ora B iле,Sbagliode;privilelie,Sbagliode privilelie
28,28,rocca;peri;asso,G rocca peri N C asso,Grocca;per;incastro,Grocca per incastro
29,29,lime;orologi,A BI lime T E orologi,Abili;meteorologi,Abili meteorologi
30,30,raggi;tori;Gino,raggi tori G Gino,Raggiotori;gino,Raggiotori gino
31,31,nati;sette;dita;mina,"BI, nati CA, sette dita OR mina",Binati;casette;di;Tamara,Binati casette di Tamara
32,32,divo;redo;etti,divo R A redo L C etti,Divorare;dolcetti,Divorare dolcetti
33,33,vita;esca;ali,E vitaRelativeLayoutemente,Evitara;relazioni,Evitara relazioni
34,34,mesti;cane;gente,D O mesti cane G LI gente,Domestica;negligente,Domestica negligente
35,35,storti;capo,P O storti capo P,Post;tortica;pop,Post tortica pop
36,36,ebreo;peri,CEL ebreo peri ST A,Celebre;operista,Celebre operista
37,37,note;lido,note V O lido TI,Notevoli;doti,Notevoli doti
38,38,gilet;ore;ali;ante,A gilet ore R O D ali ali C ante,Agilet;orerod;a;lilicante,Agilet orerod a lilicante
39,39,tegole;tori,BRA tegole RA tori,Brate;golareati,Brate golareati
40,40,dottore;viole,CON dottore viole NTA,Condotto;revivolta,Condotto revivolta
41,41,tra;osso;mani;est,tra osso mani F est I,Traossomani;festi,Traossomani festi
42,42,in;si;va;per;posta,in CI si va per O posta,Incisiva;peroperposta,Incisiva peroperposta
43,43,scia;la;re;ed;Ero,scia la re ed Ero,Scialare;ederero,Scialare ederero
44,44,gin;rami,gin OB rami E R I,Gino;bramieri,Gino bramieri
45,45,tra;di;sci;ori,tra di sci E R R ori,Tradi;sei;errori;orari,Tradi sei errori orari
46,46,acini;porta,L acini porta CCA,La;cininia;portacca,La cininia portacca
47,47,oli;top;balsamo,F oli top RO balsamo DO,Folitop;robustalmoso,Folitop robustalmoso
48,48,Sem;colt;tuba;anelli,Sem PI colt I VA tuba V anelli,Sempi;coltivati;a;bavanelli,Sempi coltivati a bavanelli
49,49,re;tenda;a re,MA re tenda G U N aa re,Mater;dengunaare,Mater dengunaare
50,50,testa;mento;testa;agli;redi,UN testa mento CON testa TO D agli E redi,Un;testamento;contestato;dalla;griglia,Un testamento contestato dalla griglia
51,51,larve;tori;ontani,VO larve R tori L ontani,Volar;verto;ril;ontani,Volar verto ril ontani
52,52,amo;sa;nave;nera,F amo sa C O nave nera TA,Famosa;cosa;venerea,Famosa cosa venerea
53,53,lenti;gin;Omar;tasca,lenti G gin O S Omar M tasca,Lentiggino;sommartasca,Lentiggino sommartasca
54,54,tigre;maniche,AR tigre O maniche,Arti;gremaniche,Arti gremaniche
55,55,cola;re;arazzo,S cola R re M B arazzo,Scolare;mba;razzo,Scolare mba' razzo
56,56,re;tea;bus;aglio,re tea bus aglio,Rete;a;busaglio,Rete a busaglio
57,57,pubblico;divo,SO pubblico CI divo,Soprubiccio;divo,Soprubiccio divo
58,58,est;sola;lama,C est I sola lama RI,Cesti;sol;alamari,Cesti sol alamari
59,59,cavi;Arese;gol,cavi R V Arese G gol,Cavivari;seggol,Cavivari seggol
60,60,avo;teca;adipe;are,avo L teca PI T adipe C C are,A;volte;capita;di;peccare,A volte capita di peccare
61,61,lama;serpe,CA lama serpe SSI,Calamaserpe;ssi,Calamaserpe ssi
62,62,unti;rossi;va;zio,S P unti P E rossi R va zio NI,Spunti;per;ossirvazionini,Spunti per ossirvazionini
63,63,nero;serio;ore,GE nero serio N AT ore,Generose;rionatore,Generose rionatore
64,64,rande;more;terno,G rande A more E terno,Grande;amore;eterno,Grande amore eterno
65,65,zucca;fichi,zucca R O fichi,Zuccarò;f;chi,Zuccarò f chi
66,66,isola;torero;busto,isola torero busto,Isolatore;robusto,Isolatore robusto
67,67,care;dadi;riga,care NDA dadi SB riga RE,Carendada;di;sbrigare,Carendada di sbrigare
68,68,para;erme;teli;la,para GG erme N teli QU la SI,Parà;ggermenteli;qualasì,Parà ggermenteli qualasì
69,69,nome;tori;colo,U nome T tori DI colo,Un;omettor;idicolo,Un omettor idicolo
70,70,faretra;arco;dardi,faretra P EL arco dardi A,Fare;trapelar;cordardia,Fare trapelar cordardia
71,71,astori;rovo,V astori T rovo,Vasto;ritrovo,Vasto ritrovo
72,72,Mida;mazzo,AR Mida mazzo NI,Armi;d;amazzoni,Armi d'amazzoni
73,73,sci;lama;Ra,sci O C lama P Ra,Sciocca;malapra,Sciocca malapra
74,74,do;ore;tre;Giano,do T T ore tre VI Giano,Dottore;trevigiano,Dottore trevigiano
75,75,danno;venti,danno SI E venti,Danosie;ventini,Danosie ventini
76,76,lente;colo;cono;Talia;nodo,I L lente colo E cono MI COI Talia nodo GGI,Il;lentecolo;economico;italiano;d;otto,Il lentecolo economico italiano d'otto
77,77,ave;rei;dea;fiorino;gin;ali,ave rei dea fiorino gin ali,Avere;idea;fiorinoginali,Avere idea fiorinoginali
78,78,api;DO;mento,R api DO O M mento,Rapido;ommento,Rapido ommento
