,idx,word_guesses,first_pass,solution_words,solution
0,0,araba;ile;ape;fari,AND araba S ile ape R A F fari,Andar;a;basiale;per;affari,Andar a basiale per affari
1,1,re;sode;testa,re CLU sode testa TO,Recluso;detestato,Recluso detestato
2,2,fa;sci;moro;sta,fa sci S moro N DI sta,Fascismo;rondista,Fascismo rondista
3,3,Oman;dardi;enti,D Oman dardi P AR enti,Domandar;di;parenti,Domandar di parenti
4,4,arto;dita,SC arto dita R A,Scarto;di;tara,Scarto di tara
5,5,chiesa;fate;ode;eco;sei;para,chiesa VIO fate SO R ode LL eco sei M para TE,Chi;è;savio;fa;tesoro;delle;cose;imparate,Chi è savio fa tesoro delle cose imparate
6,6,revolver;ibis;ami;arsi,PE revolver S ibis O GN ami GL IO R arsi,Per;evolversi;bisogna;migliorarsi,Per evolversi bisogna migliorarsi
7,7,van;da;dama;giare;alte;ami,V I van da dama N giare alte G ami N O,Vivanda;da;mangiare;al;tegamino,Vivanda da mangiare al tegamino
8,8,rive;Itaca,rive ND Itaca RA,Rivendita;cara,Rivendita cara
9,9,onda;redi;orsi,SFR onda redi S C orsi,Sfrondare;discorsi,Sfrondare discorsi
10,10,la;ceste;lato,la N I ceste L lato,L;anice;stellato,L'anice stellato
11,11,con;ratto;ila;oro,con T ratto D ila V oro,Contratto;di;lavoro,Contratto di lavoro
12,12,pedale;di;serva,OS pedale di RI serva,Ospedale;di;Riserva,Ospedale di Riserva
13,13,ore;Roma;ile,T ore Roma DR ile N O,Torero;madrileno,Torero madrileno
14,14,oliera;pericolo,V oliera pericolo MBI,Voliera;per;i;colombi,Voliera per i colombi
15,15,ami;ciechi,C ami ciechi C,Camicie;chic,Camicie chic
16,16,stie;duca,GE stie duca TI,Gesti;educati,Gesti educati
17,17,duomo;Pi;di,duomo Pi di,Duomopi;dici,Duomopi dici
18,18,chef;lacci,BOC chef lacci DE,Bocche;flaccide,Bocche flaccide
19,19,odi;avi;ori,PR odi avi A T ori,Prodi;aviatori,Prodi aviatori
20,20,re;re;re;bus;Cile,C re A re UN re bus F A Cile,Creare;un;rebus;facile,Creare un rebus facile
21,21,ante;edili;tino,V ante R I edili BER tino,Vanterie;di;libertino,Vanterie di libertino
22,22,Po;Po;reattore;orsi,IL Po Po LA reattore AC C orsi,Il;popolare;attore;accorsi,Il popolare attore accorsi
23,23,insegna;divi;oli,insegna NT E divi oli N O,Insegnante;di;violino,Insegnante di violino
24,24,Nievo;ora,CA Nievo ora I,Cani;e;voraî,Cani e voraî
25,25,elmo;odi;di;re,B elmo D odi di re,Bel;modo;di;dire,Bel modo di dire
26,26,Rodi;negri,BO Rodi negri EG,Borodine;g;Rigel,Borodine g Rigel
27,27,agli;ode;ora;ile,S B agli ode P L ora B ile,Sbaglio;deplorabile,Sbaglio deplorabile
28,28,irata;peri;asso,G irata peri N C asso,Girata;per;incasso,Girata per incasso
29,29,lime;orologi,A BI lime T E orologi,Abili;meteorologi,Abili meteorologi
30,30,raggi;un;Ermete,raggi un G Ermete,Raggiunger;mete,Raggiunger mete
31,31,anche;sette;dita;mina,"BI, anche CA, sette dita OR mina",Bianche;casette;di;Taormina,Bianche casette di Taormina
32,32,divo;redo;etti,divo R A redo L C etti,Divorare;dolcetti,Divorare dolcetti
33,33,vita;esca;ali,E vita R esca N D ali,Evitare;scandali,Evitare scandali
34,34,mesti;cane;gente,D O mesti cane G LI gente,Domestica;negligente,Domestica negligente
35,35,camusi;capo,P O camusi capo P,Poca;musica;pop,Poca musica pop
36,36,ebreo;peri,CEL ebreo peri ST A,Celebre;operista,Celebre operista
37,37,note;lido,note V O lido TI,Notevoli;doti,Notevoli doti
38,38,gilet;ore;ali;ante,A gilet ore R O D ali C ante,Agile;torero;d;alicante,Agile torero d'alicante
39,39,viti;tori,BRA viti RA tori,Bravi;tiratori,Bravi tiratori
40,40,dotta;viole,CON dotta viole NTA,Condotta;violenta,Condotta violenta
41,41,con;collare;mani;est,con collare mani F est I,Concollare;manifesti,Concollare manifesti
42,42,in;si;va;per;razione,in CI si va per O razione,Incisiva;perorazione,Incisiva perorazione
43,43,scia;la;re;sol;doni,scia la re sol doni,Scialare;soldoni,Scialare soldoni
44,44,gin;rami,gin OB rami E R I,Gino;Bramieri,Gino Bramieri
45,45,fra;secondi;versi;ori,fra secondi versi E R R ori,Frase;con;diversi;errori,Frase con diversi errori
46,46,acini;caviglia,L acini caviglia CCA,La;cinica;vigliacca,La cinica vigliacca
47,47,ossa;top;fon,F ossa top RO fon DO,Fossato;profondo,Fossato profondo
48,48,Cam;colt;tiara;anelli,Cam PI colt I VA tiara V anelli,Campi;coltivati;a;ravanelli,Campi coltivati a ravanelli
49,49,re;ala;are,MA re ala G U N are,Marea;lagunare,Marea lagunare
50,50,testa;mento;testa;agli;redi,UN testa mento CON testa TO D agli E redi,Un;testamento;contestato;dagli;eredi,Un testamento contestato dagli eredi
