,idx,word_guesses,first_pass,solution_words,solution
0,0,araba;ile;ape;fari,AND araba S ile ape R A F fari,Andar;a;basilé;ape;raffari,Andar a basilé ape raffari
1,1,re;sode;testa,re CLU sode testa TO,Recluso;detestato,Recluso detestato
2,2,fa;sci;moro;sta,fa sci S moro N DI sta,Fascismo;rondista,Fascismo rondista
3,3,Oman;dardi;enti,D Oman dardi P AR enti,Domandar;di;parenti,Domandar di parenti
4,4,arto;dita,SC arto dita R A,Scarto;di;tara,Scarto di tara
5,5,chiesa;fate;ode;eco;sei;para,chiesa VIO fate SO R ode LL eco sei M para TE,Chi;è;savio;fa;tesoro;delle;cose;imparate,Chi è savio fa tesoro delle cose imparate
6,6,revolver;ibis;ami;arsi,PE revolver S ibis O GN ami GL IO R arsi,Per;evolversi;bisogna;migliorarsi,Per evolversi bisogna migliorarsi
7,7,van;da;giare;alte;ami,V I van da da N giare alte G ami N O,Vivanda;da;gangiare;al;tegamino,Vivanda da gangiare al tegamino
8,8,rive;Itaca,rive ND Itaca RA,Rivendita;cara,Rivendita cara
9,9,onda;redi;orsi,SFR onda redi S C orsi,Sfrondare;discorsi,Sfrondare discorsi
10,10,la;cesti;lato,la N I cesti L lato,L;anice;stollato,L'anice stollato
11,11,con;ratto;ila;oro,con T ratto D ila V oro,Contratto;di;lavoro,Contratto di lavoro
12,12,pedale;di;serva,OS pedale di RI serva,Ospedale;di;Riserva,Ospedale di Riserva
13,13,ore;Roma;ile,T ore Roma DR ile N O,Torero;madrileno,Torero madrileno
14,14,oliera;pericolo,V oliera pericolo MBI,Voliera;per;i;colombi,Voliera per i colombi
15,15,ami;ciechi,C ami ciechi C,Camicie;chic,Camicie chic
16,16,stie;conte,GE stie conte TI,Gesti;conteneti,Gesti conteneti
17,17,duomo;Pi;di,duomo Pi di,Duomopi;dici,Duomopi dici
18,18,chef;lacci,BOC chef lacci DE,Bocche;flaccide,Bocche flaccide
19,19,odi;avi;ori,PR odi avi A T ori,Prodi;aviatori,Prodi aviatori
20,20,re;re;re;bus;Cile,C re A re UN re bus F A Cile,Creare;un;rebus;facile,Creare un rebus facile
21,21,ante;edili;tino,V ante R I edili BER tino,Vanterie;di;libertino,Vanterie di libertino
22,22,Po;Po;reattore;orsi,IL Po Po LA reattore AC C orsi,Il;popolare;attore;accorsi,Il popolare attore accorsi
23,23,insegna;divi;oli,insegna NT E divi oli N O,Insegnante;di;violino,Insegnante di violino
24,24,Ferrante;ora,CA Ferrante ora I,Cafè;r;Antonio,Cafè r Antonio
25,25,elmo;odi;di;re,B elmo D odi di re,Bel;modo;di;dire,Bel modo di dire
26,26,Rodi;negri,BO Rodi negri EG,Borodine;g;Rigè,Borodine g Rigè
27,27,agli;ode;ora;ile,S B agli ode P L ora B ile,Sbaglio;deplorabile,Sbaglio deplorabile
28,28,irata;peri;asso,G irata peri N C asso,Girata;per;incasso,Girata per incasso
29,29,lime;orologi,A BI lime T E orologi,Abili;meteorologi,Abili meteorologi
30,30,raggi;un;Ermete,raggi un G Ermete,Raggiunger;mete,Raggiunger mete
31,31,anche;sette;dita;mina,"BI, anche CA, sette dita OR mina",Bianche;casette;di;Taormina,Bianche casette di Taormina
32,32,divo;redo;etti,divo R A redo L C etti,Divorare;dolcetti,Divorare dolcetti
33,33,vita;esca;ali,E vita R esca N D ali,Evitare;scandali,Evitare scandali
34,34,mesti;cane;gente,D O mesti cane G LI gente,Domestica;negligente,Domestica negligente
35,35,camusi;capo,P O camusi capo P,Poca;musica;pop,Poca musica pop
36,36,ebreo;peri,CEL ebreo peri ST A,Celebre;operista,Celebre operista
37,37,note;lido,note V O lido TI,Notevoli;doti,Notevoli doti
38,38,gilet;ore;ali;ante,A gilet ore R O D ali C ante,Agile;torero;d;alicante,Agile torero d'alicante
39,39,viti;tori,BRA viti RA tori,Bravi;tiratori,Bravi tiratori
40,40,dotta;viole,CON dotta viole NTA,Condotta;violenta,Condotta violenta
41,41,tra;collare;mani;est,tra collare mani F est I,Tracollare;manifesti,Tracollare manifesti
42,42,in;si;va;per;razione,in CI si va per O razione,Incisiva;perorazione,Incisiva perorazione
43,43,scia;la;re;sol;doni,scia la re sol doni,Scialare;soldoni,Scialare soldoni
44,44,gin;rami,gin OB rami E R I,Gino;Bramieri,Gino Bramieri
45,45,fra;secondi;versi;ori,fra secondi versi E R R ori,Frase;con;diversi;errori,Frase con diversi errori
46,46,acini;caviglia,L acini caviglia CCA,La;cinica;vigliacca,La cinica vigliacca
47,47,ossa;top;fon,F ossa top RO fon DO,Fossato;profondo,Fossato profondo
48,48,Sem;colt;tiara;anelli,Sem PI colt I VA tiara V anelli,Sempi;coltivati;a;Ravanelli,Sempi coltivati a Ravanelli
49,49,re;ala;are,MA re ala G U N are,Marea;lagunare,Marea lagunare
50,50,testa;mento;testa;agli;redi,UN testa mento CON testa TO D agli E redi,Un;testamento;contestato;dagli;eredi,Un testamento contestato dagli eredi
51,51,larve;somari;ontani,VO larve R somari L ontani,Volar;verso;Marì;Lontani,Volar verso Marì Lontani
52,52,amo;sai;nave;nera,F amo sai C O nave nera TA,Famosa;icona;venerata,Famosa icona venerata
53,53,lenti;gin;Omar;occhio,lenti G gin O S Omar M occhio,Lentigginoso;marmocchio,Lentigginoso marmocchio
54,54,tir;maniche,AR tir O maniche,Arti;romaniche,Arti romaniche
55,55,cola;anelli;arazzo,S cola R anelli M B arazzo,Scolara;nell;imbarazzo,Scolara nell'imbarazzo
56,56,re;tea;tram;aglio,re tea tram aglio,Rete;a;tramaglio,Rete a tramaglio
57,57,spettatore;divo,SO spettatore CI divo,Sospettato;recidivo,Sospettato recidivo
58,58,est;conca;lama,C est I conca lama RI,Cesti;con;calamari,Cesti con calamari
59,59,prese;Arese;reti,prese R V Arese G reti,Preservare;segreti,Preservare segreti
60,60,avo;teca;adipe;are,avo L teca PI T adipe C C are,A;volte;capita;di;peccare,A volte capita di peccare
61,61,lama;rettile,CA lama rettile SSI,Calamaretti;lessi,Calamaretti lessi
62,62,unti;rosse;va;zio,S P unti P E rosse R va zio NI,Spunti;per;osservazioni,Spunti per osservazioni
63,63,nero;sodo;ore,GE nero sodo N AT ore,Generoso;donatore,Generoso donatore
64,64,rande;more;terno,G rande A more E terno,Grande;amore;eterno,Grande amore eterno
65,65,zucche;citroni,zucche R O citroni,Zucchero;c;troni,Zucchero c troni
66,66,isola;matador;busto,isola matador busto,Isolamata;robusto,Isolamata robusto
67,67,facce;dadi;riga,facce NDA dadi SB riga RE,Faccenda;da;disbrigare,Faccenda da disbrigare
68,68,fenolo;erme;teli;oro,fenolo GG erme N teli QU oro SI,Feno;loggermente;liquorosi,Feno loggermente liquorosi
69,69,nome;tori;colo,U nome T tori DI colo,Un;ometto;ridicolo,Un ometto ridicolo
70,70,faretra;arco;dardi,faretra P EL arco dardi A,Fare;trapelar;codardia,Fare trapelar codardia
71,71,astori;rovo,V astori T rovo,Vasto;ritrovo,Vasto ritrovo
72,72,Mida;mazzo,AR Mida mazzo NI,Armi;d;amazzoni,Armi d'amazzoni
73,73,sci;cote;paz,sci O C cote P paz,Sciocco;teppazio,Sciocco teppazio
74,74,do;ore;tre;Giano,do T T ore tre VI Giano,Dottore;trevigiano,Dottore trevigiano
75,75,danno;venti,danno SI E venti,Dannosi;eventi,Dannosi eventi
76,76,mira;colo;cono;Talia;nodo,I L mira colo E cono MI COI Talia nodo GGI,Il;miracolo;economico;italiano;d;oggi,Il miracolo economico italiano d'oggi
77,77,ave;rei;dee;ori;gin;ali,ave rei dee ori gin ali,Avere;idee;originali,Avere idee originali
78,78,api;doc;mento,R api doc O M mento,Rapido;commento,Rapido commento
79,79,musi;tino;dame;cani,musi C I S tino R dame R I cani,Musicisti;nordamericani,Musicisti nordamericani
80,80,pera;colt;ree;orma;navi;ara,SA pera S colt A ree orma IU navi R T U R ara,Saper;ascoltare;è;ormai;una;virtù;rara,Saper ascoltare è ormai una virtù rara
81,81,osso;De;ali,CA osso De ali,Caos;sodeali,Caos sodeali
82,82,Pi;star;do;Ande,Pi star do L Ande SE,Pistardo;lanḍese,Pistardo lanḍese
83,83,coni;rupi,coni O rupi E,Conio;ru;piene,Conio ru piene
84,84,albatro;va,SCI albatro va TA,Scialba;trovatà,Scialba trovatà
85,85,avola;Asti;Roma;erma,T avola D Asti Roma L F erma,Tavola;da;stiro;malferma,Tavola da stiro malferma
86,86,neri;cori;amo,GE neri cori CH I amo,Generico;richiamo,Generico richiamo
87,87,lacci;con;fusi,UR lacci con fusi,Urlaci;confusi,Urlaci confusi
88,88,smorfie;fa,DE smorfie fa,Desmorfi;e fa,Desmorfi e fa
89,89,pera;rea;Senna;mente,O pera rea S Senna T A mente,Operare;assennatamente,Operare assennatamente
90,90,tra;letti;in;orsi,tra F I letti in C orsi VO,Trafiletti;in;corsivo,Trafiletti in corsivo
91,91,sci;odi;la,CU sci N odi la NA,Cuscino;di;lana,Cuscino di lana
92,92,amo;perle;terni,amo R E perle terni T A,Amore;per;l;eternità,Amore per l'eternità
93,93,casa;casco;ori,casa C casco L ori T A,Casacca;scolorita,Casacca scolorita
94,94,rima;eredi;tacca,rima N eredi S tacca TI,Rimanere;distaccati,Rimanere distaccati
95,95,mici;Di;lega,mici Di A lega RA,Micidiale;gara,Micidiale gara
96,96,viole;fili;pica,viole N T A fili P pica,Violenta;filippica,Violenta filippica
97,97,esca;nati;colle;ali,TR esca N ZO nati colle G I ali,Tre;scanzonati;collegiali,Tre scanzonati collegiali
98,98,su;rete;ari,su O rete RZI ari E,Suore;terziarie,Suore terziarie
99,99,vela;sci,DI vela sci V E,Dive;lascive,Dive lascive
100,100,moro;sazi,A moro sazi A,Amorosa;zia,Amorosa zia
101,101,moda;fari,UO moda F fari,Uomo;d;affari,Uomo d'affari
102,102,viole;tre;more,U N viole N T O tre more,Un;violento;tremore,Un violento tremore
103,103,asse;are;oli;tea;ali,asse GN are R U oli tea T R ali,Assegnare;ruoli;teatrali,Assegnare ruoli teatrali
104,104,lancia;ocarina,lancia D EL ocarina,L;ancia;del;ocarina,L'ancia del ocarina
105,105,nonne;Oglio;pere,nonne V Oglio S A pere,Non;ne;voglio;sapere,Non ne voglio sapere
106,106,navi;Sion;topi,U navi Sion EU topi CA,Una;visione;utopica,Una visione utopica
107,107,astori;adipi;occhio;collo,L astori adipi N occhio DI collo DI,La;storia;di;Pinocchio;di;Colli,"La storia di Pinocchio, di Colli"
108,108,rea;rea;rose;tram,C rea rea M O rose tram E,Creare;amorose;trame,Creare amorose trame
109,109,orse;orse;nate,C orse F orse N nate,Corse;forsennate,Corse forsennate
110,110,strade;erta,MO strade S erta,Mostra;deserta,Mostra deserta
111,111,orso;alce;roditori,C orso alce NT roditori NO,Corso;al;centro;di;Torino,Corso al centro di Torino
112,112,in;scarpe;santi;volte,in N E scarpe santi R I volte,Innescar;pesanti;rivolte,Innescar pesanti rivolte
113,113,sedia;ori;remo,sedia M ori A V remo,Se;diamo;riavremo,Se diamo riavremo
